epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,2.08,22.86,1.89,31.33
2,1.82,33.13,1.76,35.07
3,1.73,36.5,1.7,37.94
4,1.68,38.82,1.64,40.34
5,1.64,40.11,1.61,42.57
6,1.61,41.66,1.59,42.55
7,1.59,42.33,1.55,43.97
8,1.57,43.12,1.54,45.13
9,1.55,44.1,1.52,45.0
10,1.53,44.75,1.51,45.98
11,1.51,45.25,1.49,46.53
12,1.5,45.62,1.49,46.52
13,1.49,46.22,1.48,46.89
14,1.48,46.51,1.46,47.88
15,1.47,46.84,1.45,47.62
16,1.46,47.4,1.46,47.43
17,1.45,47.79,1.44,48.32
18,1.44,48.14,1.43,48.38
19,1.43,48.8,1.42,49.05
20,1.42,48.98,1.41,49.26
21,1.42,48.89,1.42,48.84
22,1.41,49.24,1.4,50.3
23,1.4,49.33,1.4,50.27
24,1.4,49.83,1.4,49.42
25,1.4,50.01,1.38,50.41
26,1.38,50.58,1.37,51.1
27,1.38,50.61,1.37,50.94
28,1.37,50.64,1.37,50.95
29,1.37,51.1,1.37,50.93
30,1.36,51.39,1.36,50.92
31,1.35,51.86,1.35,51.76
32,1.34,51.94,1.35,51.86
33,1.34,51.99,1.34,51.62
34,1.34,51.8,1.34,52.03
35,1.34,52.07,1.34,52.02
36,1.35,51.78,1.35,51.74
37,1.35,51.88,1.34,52.0
38,1.34,52.07,1.34,51.76
39,1.34,52.12,1.34,51.96
40,1.34,52.21,1.34,52.22
41,1.34,52.21,1.35,51.95
42,1.34,52.18,1.34,52.54
43,1.34,52.31,1.35,52.3
44,1.33,52.25,1.34,52.07
45,1.34,52.28,1.34,51.95
46,1.34,52.16,1.34,51.74
47,1.33,52.36,1.34,52.02
48,1.34,52.23,1.33,51.91
49,1.33,52.54,1.33,52.38
50,1.33,52.37,1.33,52.37
51,1.33,52.4,1.34,52.32
52,1.33,52.31,1.33,52.36
53,1.33,52.34,1.34,52.77
54,1.33,52.17,1.33,52.22
55,1.33,52.7,1.33,52.1
56,1.33,52.67,1.33,51.86
57,1.33,52.5,1.34,51.7
58,1.33,52.58,1.33,52.76
59,1.33,52.6,1.33,53.17
60,1.33,52.62,1.33,52.68
61,1.32,52.86,1.32,53.04
62,1.33,52.74,1.33,52.82
63,1.33,52.68,1.34,52.09
64,1.33,52.59,1.33,52.15
65,1.33,52.48,1.33,52.68
66,1.33,52.56,1.34,51.76
67,1.33,52.68,1.32,53.27
68,1.33,52.64,1.34,52.41
69,1.33,52.66,1.33,52.41
70,1.33,52.62,1.32,52.98
71,1.32,52.76,1.33,52.77
72,1.33,52.42,1.33,52.53
73,1.32,52.73,1.32,52.64
74,1.33,52.68,1.34,51.85
75,1.33,52.73,1.33,52.53
76,1.32,52.93,1.33,52.26
77,1.33,52.67,1.33,52.37
78,1.33,52.71,1.33,51.91
79,1.32,52.73,1.33,52.27
80,1.32,52.62,1.32,53.08
81,1.33,52.59,1.33,52.53
82,1.33,52.63,1.32,53.4
83,1.33,52.95,1.33,52.3
84,1.32,52.84,1.33,52.35
85,1.32,53.06,1.33,52.21
86,1.33,52.79,1.33,52.99
87,1.33,52.63,1.32,52.87
88,1.32,52.9,1.33,52.49
89,1.33,52.67,1.33,52.65
90,1.32,52.61,1.33,52.32
91,1.33,52.77,1.32,52.6
92,1.33,52.77,1.33,52.29
93,1.32,52.84,1.32,52.85
94,1.33,52.79,1.34,52.36
95,1.33,52.62,1.33,52.73
96,1.32,52.88,1.33,52.92
97,1.33,52.79,1.33,52.21
98,1.33,52.61,1.32,53.09
99,1.32,52.72,1.33,52.15
100,1.32,52.76,1.32,52.71
